MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius	
74	Môc D· L­ Tinh	1	0	0	320	2	1	3	0	24	0	-40960	40960	1	0	0	0	0	1	1	0	0	1	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_04_ÄÁÒ°Á÷ĞÇ.spr	5,1,1		\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2		\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k041.wav													156	211	255	90	
75	Bİch H¶i TriÒu Sinh 	1	0	0	10	1	0	1	0	30	24	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_05_±Ìº£³±Éú_b.spr	48,16,1					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														156	211	255	90	
76	Bang Tung V« ¶nh	1	0	1	10	1	0	1	0	30	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_01_·çÔÆÍ»Æğ.spr	48,16,1	\sound\skill\·ç»¨Ñ©ÔÂ.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90	
77	B¨ng Tam TuyÕt Liªn 	0	0	1	10	3	1	3	10	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\cy\±ùĞÄÑ©Á«±¬Õ¨.spr	22,1,1					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90	
78	B¨ng T©m Tiªn Tö	1	0	1	10	1	1	1	0	25	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\cy\·çÑ©±ùÌì.spr	128,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90	
79	Phong TuyÕt B¨ng Thiªn	0	0	1	15	3	1	3	7	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\cy\xx_·çÑ©±ùÌì.spr	40,1,1	\sound\skill\¸¡ÔÆÉ¢Ñ©.wav																			156	166	247	90	
80	KiÕn Nh©n ThÇn Thñ	1	0	1	10	1	0	1	0	15	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1	\sound\skill\¼ûÈËÉìÊÖ.wav				\spr\skill\ÌìÈÌ\mag_tr_bz1_±¬Õ¨Ğ§¹û.spr	8,1,2														255	174	60	90	
81	Diªn M«n Th¸c B¸t	1	0	1	10	1	0	1	0	15	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_02_ÑØÃÅÍĞ²§.spr	64,16,1	\sound\skill\ÑØÃÅÍĞ²§.wav				\spr\skill\ÌìÈÌ\mag_tr_bz1_±¬Õ¨Ğ§¹û.spr	8,1,2														255	174	60	90	
82	Ho¹t BÊt L­u Thñ	0	0	0	18	1	1	5	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0							\spr\skill\Ø¤°ï\mag_gb_07_½ğÎÚÓ³Ñ©.spr	20,1,1																	255	219	99	90	
83	Kh¸ng Long H÷u Håi	1	0	1	10	1	1	1	0	36	10	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_05_¿ºÁúÓĞ»Ú.spr	80,16,1	\sound\skill\¿ºÁúÎŞ»Ú.wav				\spr\skill\Ø¤°ï\mag_gb_bz5_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\sound_k037.wav													255	174	60	90	
84	Bçng §· ¸c CÈu	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_04_ÌìÏÂÎŞ¹·.spr	64,16,1	\sound\skill\ÌìÏÂÎŞ¹·.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2														255	174	60	90	
85	Phi Long T¹i Thiªn	5	0	1	10	1	0	2	0	24	30	0	0	1	0	0	0	0	1	1	1	0	0	8	8	0	0				\spr\skill\Ø¤°ï\mag_gb_05_¿ºÁúÓĞ»Ú.spr	80,16,1	\sound\skill\¿ºÁúÎŞ»Ú.wav				\spr\skill\Ø¤°ï\mag_gb_bz5_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\sound_k037.wav													255	174	60	90	
86	Long ChiÕn U D· 	0	0	1	10	3	0	3	15	15	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\sound_k044.wav																			239	146	82	90	
87	Thiªn H¹ V« CÈu	5	0	1	10	1	0	2	0	32	24	0	0	1	0	0	0	0	1	1	1	0	0	8	8	0	0				\spr\skill\Ø¤°ï\mag_gb_04_ÌìÏÂÎŞ¹·.spr	64,16,1	\sound\skill\ÌìÏÂÎŞ¹·.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2														255	174	60	90	
88	Tµn D­¬ng Nh­ TuyÕt 	1	0	0	10	1	0	1	0	18	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_01_²ĞÑôÈçÑ©.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90	
89	§¬n ChØ LiÖt DiÖm	1	0	1	10	1	1	1	0	12	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_04_µ¯Ö¸ÁÒÑæ.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90	
90	LiÖt Háa T×nh Thiªn 	1	0	1	10	1	0	1	0	28	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_01_²ĞÑôÈçÑ©.spr	48,16,1	\sound\skill\ÁÒ»ğÇéÌì.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90	
91	Th«i S¬n §iÒn H¶i	0	0	0	20	2	1	2	12	120	0	0	0	1	1	20	30	0	0	0	0	0	0	0	0	0	1				\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_a1.spr	31,1,2	\sound\skill\ÍÆÉ½Ìîº£.wav	\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_a2.spr	10,1,2				\sound\skill\sound_k038.wav				\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_b1.spr	31,1,2	\sound\skill\sound_k036.wav	\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_b2.spr	10,1,2					239	146	82	90	
92	Th©u Thiªn Ho¸n NhËt	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0										\spr\skill\ÌìÈÌ\mag_tr_07_ÍµÌì»»ÈÕ.spr	15,1,2	\sound\skill\sound_k032.wav													255	113	114	90	
93	Ma DiÖm ThÊt S¸t	0	0	1	1	4	1	4	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0																									255	255	255	90	
94	Th­îng H¶i Minh NguyÖt	1	0	1	1	1	0	1	0	24	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,2					\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	6,1,2														239	146	82	90	
95	V©n Long Kİch	1	0	1	10	1	1	1	0	5	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_02_¼²µç·¨a.spr	160,16,1	\sound\skill\ÁÒ»ğÇéÌì.wav				\spr\skill\tr\ÔÆÁú»÷.spr	6,1,1	\sound\skill\sound_k037.wav													239	146	82	90	
96	Thiªn Ngo¹i L­u Tinh	0	0	0	320	1	0	1	10	14	0	-40960	1024	1	0	0	0	0	1	1	0	0	1	0	0	0	0				\spr\skill\tr\zd_Òµ»ğ·Ù³Ç.spr	18,1,1		\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	6,1,1		\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\sound_k037.wav													156	211	255	90	
97	NghiÖp Háa Ph©n Thµnh	1	0	1	10	4	1	4	6	54	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\tr\Òµ»ğ·Ù³Ç.spr	35,1,1																				239	146	82	90	
98	Né L«i ChØ	1	0	1	10	1	0	1	0	20	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_01_Å­À×Ö¸.spr	160,16,1	\sound\skill\Å­À×Ö¸.wav				\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90	
99	Th­îng H¶i Minh NguyÖt	1	0	1	10	1	0	1	0	24	20	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_02_²×º£Ã÷ÔÂ.spr	8,1,1	\sound\skill\²×º£Ã÷ÔÂ.wav				\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1														189	239	239	90	
100	B¾c CÊp NhŞ Phôc	0	0	1	15	7	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\Îäµ±\wd_05_°ş¼°¶ø¸´.spr	12,1,1	\sound\skill\°ş¼«¶ø¸´.wav																			255	255	231	90	
101	KiÕm Phi K×nh Thiªn	0	0	1	10	1	1	5	17	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\Îäµ±\wd_03_Ìì¼Ê¾ªÀ×.spr	17,1,1	\sound\skill\½£·É¾ªÌì.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	231	90	
102	V« Ng· V« KiÕm	1	0	1	10	1	0	1	0	18	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_10_ÎŞÎÒÎŞ½£.spr	96,16,1																				255	255	231	90	
103	Tam Hoµn Th¶o NguyÖt	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1		\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1		181	203	255	0	
104	Thiªn §Şa V« Cùc	0	0	1	15	4	1	4	5	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\wd\ÌìµØÎŞ¼«.spr	20,1,1	\sound\skill\°ş¼«¶ø¸´.wav																			255	255	231	90	
105	Nh©n KiÕm Hîp NhÊt	1	0	1	10	1	0	1	0	4	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_11_µçµØÀ×.spr	160,16,1	\sound\skill\²×º£Ã÷ÔÂ.wav																			239	231	189	90	
106	Minh NguyÖt V« T©m	0	0	0	2	2	1	6	9	9	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0				\spr\skill\Îäµ±\wd_09_ÈË½£ºÏÒ»½£.spr	11,1,1					\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav													255	255	255	90	
107	HuyÒn NhÊt V« T­íng	0	0	1	15	4	0	1	11	10	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1	\sound\skill\ĞşÒ»ÎŞÏó.wav													255	255	231	90	
108	H« Phong Ph¸p	1	1	1	10	1	0	1	0	15	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_01_ºô·ç·¨.spr	15,1,1	\sound\skill\¼²·çÖä.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	219	214	90	
109	Cuång L«i ChÊn §Şa	0	0	1	15	1	1	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\À¥ÂØ\KL_04_¿ñÀ×ÕğµØ.spr	5,1,2					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
110	Thiªn TÕ TÊn L«i	1	0	1	10	1	0	1	0	12	30	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1				\spr\skill\À¥ÂØ\kl_02_¼²µç·¨a.spr	160,16,1	\sound\skill\Ñ¸À×Öä.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\À¥ÂØ\kl_02_¼²µç·¨b.spr	160,16,1								255	255	239	90	
111	Cuång Phong S©u §iÖn	1	0	1	10	1	1	1	0	40	31	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\À¥ÂØ\kl_03_¿ñ·çÖèµç.spr	20,1,1	\sound\skill\¿ñ·çÖèµç.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
112	Ngò L«i Chİnh Ph¸p	0	0	1	18	1	1	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_05_ÎåÀ×Õı·¨.spr	5,1,2					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
113	Mª Tung ¶o ¶nh	0	0	1	15	2	1	3	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skillkt\dmb_9x_1_c.spr	540,1,1						60,1,1														255	255	231	90	
114	Ng¹o TuyÕt Tiªu Phong	1	0	1	10	1	1	1	0	16	31	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\À¥ÂØ\kl_03_¿ñ·çÖèµç.spr	20,1,1	\sound\skill\¿ñ·çÖèµç.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
115	KhiÕu Phong Tam Liªn Kİch	0	0	1	15	2	0	2	10	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\kl\°ÁÑ©Ïô·ç.spr	54,1,1	\sound\skill\°ş¼«¶ø¸´.wav					54,1,1														255	255	231	90	
116	L«i §éng Cöu Thiªn 1	0	0	1	18	1	0	1	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\kl\À×¶¯¾ÅÌì.spr	6,1,2					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
117	L«i §éng Cöu Thiªn 2	0	0	1	18	2	1	2	4	12	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\À×»÷Êõ.spr	27,1,1					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90	
118	Lam Ba 	1	0	0	2	1	0	1	0	20	24	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_À¶.spr	320,32,1																				148	174	239	90	
119	Hång Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo2_ºì²¨.spr	320,32,1																				222	101	74	90	
120	Lôc Ba 	1	0	0	2	1	1	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_ÂÌ.spr	320,32,1																				132	227	82	90	
121	B¹ch Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_°×.spr	320,32,1																				140	142	165	90	
122	Hoa hång 2	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	1			\sound\skill\·ç»¨Ñ©ÔÂ.wav	\spr\skill\²¹³ä\À¶Ãµ¹å03.spr	50,1,1											\spr\skill\²¹³ä\À¶Ãµ¹å02.spr	50,1,1								156	211	255	90	
123	Hoa hång 3	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\À¶Ãµ¹å02.spr	50,1,1											\spr\skill\²¹³ä\À¶Ãµ¹å04.spr	50,1,1								156	211	255	90	
124	Hoa hång 4	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\À¶Ãµ¹å05.spr	50,1,1											\spr\skill\²¹³ä\À¶Ãµ¹å03.spr	50,1,1								156	211	255	90	
125	Hoa hång 5	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\À¶Ãµ¹å04.spr	50,1,1											\spr\skill\²¹³ä\À¶Ãµ¹å01.spr	50,1,1								156	211	255	90	
126	Hoa hång 6	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\À¶Ãµ¹å06.spr	50,1,1											\spr\skill\²¹³ä\À¶Ãµ¹å05.spr	50,1,1								156	211	255	90	
127	Hoa hång trªn ®Êt	0	0	1	15	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				\spr\skill\²¹³ä\À¶Ãµ¹åµØÃæ03.spr	16,1,1											\spr\skill\²¹³ä\À¶Ãµ¹åµØÃæ01.spr	1,1,1								255	255	231	90	
128	Hoa TuyÕt 2	1	0	1	450	1	1	3	0	240	0	0	128	1	0	0	0	0	0	1	0	0	1	0	0	0	1			\sound\skill\·ç»¨Ñ©ÔÂ.wav	\spr\skill\²¹³ä\Ñ©»¨03.spr	50,1,1											\spr\skill\²¹³ä\Ñ©»¨02.spr	50,1,1								156	211	255	90	
129	Hoa TuyÕt 3	1	0	1	450	1	1	3	0	240	0	0	128	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\Ñ©»¨02.spr	50,1,1											\spr\skill\²¹³ä\Ñ©»¨04.spr	50,1,1								156	211	255	90	
130	Hoa TuyÕt 4	1	0	1	450	1	1	3	0	240	0	0	128	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\Ñ©»¨05.spr	50,1,1											\spr\skill\²¹³ä\Ñ©»¨03.spr	50,1,1								156	211	255	90	
131	Hoa TuyÕt 5	1	0	1	450	1	1	3	0	240	0	0	128	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\Ñ©»¨04.spr	50,1,1											\spr\skill\²¹³ä\Ñ©»¨01.spr	50,1,1								156	211	255	90	
132	Hoa TuyÕt 6	1	0	1	450	1	1	3	0	240	0	0	128	1	0	0	0	0	0	1	0	0	1	0	0	0	1				\spr\skill\²¹³ä\Ñ©»¨06.spr	50,1,1											\spr\skill\²¹³ä\Ñ©»¨05.spr	50,1,1								156	211	255	90	
133	Hoa tuyÕt trªn ®Êt	0	0	1	15	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				\spr\skill\²¹³ä\Ñ©»¨µØÃæ03.spr	16,1,1											\spr\skill\²¹³ä\Ñ©»¨µØÃæ01.spr	1,1,1								255	255	231	90	
134	Ph¸o	7	0	1	20	3	1	3	0	60	16	10240	5120	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\others\firecracker.spr	64,8,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													132	125	107	90	
135	Ph¸o Trung Thiªn	1	0	1	20	2	1	2	0	60	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\others\firecracker.spr	64,8,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													255	174	60	90	
136	Vßng trßn hç trî ®ång ®éi	0	0	0	2	10	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
137	Chua Dung	1	0	1	20	2	1	2	0	12	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\others\firecracker.spr	64,8,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													255	174	60	90	
138	Chua Dung	1	0	1	20	2	1	2	0	12	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\others\firecracker.spr	64,8,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													255	174	60	90	
139	Chua Dung	1	0	1	20	2	1	2	0	12	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\others\firecracker.spr	64,8,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													255	174	60	90	
