SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LevelUpScript	SkillDesc	IsSkillPhysical	IsSkillMagic	IsSkillTrain
B¸t Phong Tr¶m	lzlsky301	35	102	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	1	90	5	1	8	1	12	36	0	1	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	1	0	80	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	pofeng_zhan	seriesdamage_p	pofeng_zhan	missle_speed_v	pofeng_zhan	skill_attackradius	pofeng_zhan	skill_cost_v	pofeng_zhan	missle_lifetime_v	pofeng_zhan	addskilldamage1	pofeng_zhan	addskilldamage2	pofeng_zhan		pofeng_zhan		pofeng_zhan		§ao ph¸p trung cÊp, g©y chót Ýt s¸t th­¬ng cho ®èi ph­¬ng	1	0	0
B¸t Phong Tr¶m st	lzlsky301	36		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_31.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	pofeng_zhan	seriesdamage_p	pofeng_zhan	skill_eventskilllevel	pofeng_zhan	missle_speed_v	pofeng_zhan	skill_attackradius	pofeng_zhan	skill_cost_v	pofeng_zhan	missle_lifetime_v	pofeng_zhan	addskilldamage1	pofeng_zhan	addskilldamage2	pofeng_zhan		pofeng_zhan		Cong kich vat ly 	1	0	0
D­¬ng Qu©n Tam DiÖp	lzlsky301	37	101	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_63.spr		\sound\skill\sound_k003.wav	0	0	0	0	0	90	0	1	8	1	12	38	0	3	0	10	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	3	1	80	0	10		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	yangguan_sandie	attackrating_p	yangguan_sandie	missle_speed_v	yangguan_sandie	skill_attackradius	yangguan_sandie	skill_cost_v	yangguan_sandie	missle_lifetime_v	yangguan_sandie	seriesdamage_p	yangguan_sandie	addskilldamage1	yangguan_sandie	addskilldamage2	yangguan_sandie		yangguan_sandie		Thiªn vu¬ng th­¬ng ph¸p trung cÊp, mét lÇn xuÊt 3 chiªu	1	0	0
D­¬ng Qu©n Tam DiÖp st	lzlsky301	38		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	yangguan_sandie	attackrating_p	yangguan_sandie	skill_eventskilllevel	yangguan_sandie	missle_speed_v	yangguan_sandie	skill_attackradius	yangguan_sandie	skill_cost_v	yangguan_sandie	missle_lifetime_v	yangguan_sandie	seriesdamage_p	yangguan_sandie	addskilldamage1	yangguan_sandie	addskilldamage2	yangguan_sandie		Cong kich vat ly 	1	0	0
Hµng V©n QuyÕt	lzlsky301	39	2	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	72	0	1	8	1	12	40	0	1	1	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	4	1	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue	missle_speed_v	xingyun_jue	ignoredefense_p	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdamage_p	xingyun_jue	addskilldamage1	xingyun_jue	addskilldamage2	xingyun_jue		xingyun_jue		xingyun_jue		Chuú ph¸p trung cÊp, khiÕn ®èi ph­¬ng rÊt khã xoay së	1	0	0
Hµng V©n QuyÕt st	lzlsky301	40		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue	skill_eventskilllevel	xingyun_jue	missle_speed_v	xingyun_jue	ignoredefense_p	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdamage_p	xingyun_jue	addskilldamage1	xingyun_jue	addskilldamage2	xingyun_jue		xingyun_jue		Chuy Phaptrung cap, khien doi phuong rat kho xoay so..	0	0	0
§o¹n Hån ThÝch	lzlsky301	41	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_41.spr		\sound\skill\sound_k005.wav	0	0	0	2	1	512	5	1	20	1	11	42	0	1	0	0	0	1	5	0	2	0	30	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	0	35	0	32		5					0	0	\script\skill\tianwang.lua	physicsenhance_p	duanhun_ci	stun_p	duanhun_ci	deadlystrike_p	duanhun_ci	missle_speed_v	duanhun_ci	skill_attackradius	duanhun_ci	skill_cost_v	duanhun_ci	skill_param1_v	duanhun_ci	skill_param2_v	duanhun_ci	skilladdmissles	duanhun_ci		duanhun_ci		Thiªn v­¬ng trung cÊp chiªu thøc, chiÕn ®Êu c­c kú hiÖu qu¶	0	0	0
§o¹n Hån ThÝch st	lzlsky301	42		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_41.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	0	1	1	5	0	0	0	30	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	50	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	duanhun_ci	stun_p	duanhun_ci	missle_speed_v	duanhun_ci	skill_attackradius	duanhun_ci	skill_cost_v	duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		?¡§????????????????????????¡è???????????????????????????????	0	0	0
Kim Chung Tr¸o	lzlsky301	43	11	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_43.spr		\sound\skill\sound_k005.wav		49	0	2	0	400	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	\script\skill\tianwang.lua	physicsres_p	jinzhong_zhao	coldres_p	jinzhong_zhao	fireres_p	jinzhong_zhao	skill_cost_v	jinzhong_zhao		jinzhong_zhao		jinzhong_zhao		jinzhong_zhao		jinzhong_zhao		jinzhong_zhao		jinzhong_zhao		T©m ph¸p cao cÊp, nhanh chãng t¨ng c­êng kh¶ n¨ng phßng thñ	0	0	0
Thiªn V­¬ng ChiÕn Y	lzlsky301	44	42	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_23.spr		0	0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	\script\skill\tianwang.lua	lifemax_p	tianwang_zhanyi	deadlystrikeenhance_p	tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		tianwang_zhanyi		Cao cÊp t©m ph¸p, cã thÓ t¨ng sinh lùc tèi ®a	0	0	0
V« T©m Tr¶m	lzlsky301	45	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_11.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	75	5	1	5	1	12	46	0	1	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	1	0	40	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	seriesdamage_p	wuxin_zhan	missle_lifetime_v	wuxin_zhan	addskilldamage1	wuxin_zhan	addskilldamage2	wuxin_zhan		wuxin_zhan		wuxin_zhan		§ao ph¸p cao cÊp, hiÖu qu¶ s¸t th­¬ng cùc cao	1	0	0
V« T©m Tr¶m st	lzlsky301	46		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	40	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	seriesdamage_p	wuxin_zhan	skill_eventskilllevel	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_lifetime_v	wuxin_zhan	addskilldamage1	wuxin_zhan	addskilldamage2	wuxin_zhan		wuxin_zhan		Cong kich vat ly 	1	0	0
HuyÕt ChiÕn B¸t Ph­¬ng	lzlsky301	47	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_64.spr		\sound\skill\sound_k005.wav	0	0	0	0	1	90	5	1	4	1	12	48	0	4	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	3	1	60	0	9		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	xuezhan_bafang	attackrating_p	xuezhan_bafang	missle_speed_v	xuezhan_bafang	skill_attackradius	xuezhan_bafang	skill_cost_v	xuezhan_bafang	missle_lifetime_v	xuezhan_bafang	seriesdamage_p	xuezhan_bafang	addskilldamage1	xuezhan_bafang	addskilldamage2	xuezhan_bafang		xuezhan_bafang		Th­¬ng ph¸p cao cÊp, mçi lÇn xuÊt hiÖn 4 chiªu liªn tôc	1	0	0
HuyÕt ChiÕn B¸t Ph­¬ng st	lzlsky301	48		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_42.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	xuezhan_bafang	attackrating_p	xuezhan_bafang	skill_eventskilllevel	xuezhan_bafang	missle_speed_v	xuezhan_bafang	skill_attackradius	xuezhan_bafang	skill_cost_v	xuezhan_bafang	missle_lifetime_v	xuezhan_bafang	seriesdamage_p	xuezhan_bafang	addskilldamage1	xuezhan_bafang	addskilldamage2	xuezhan_bafang		Cong kich vat ly 	1	0	0
Thõa Long QuyÕt	lzlsky301	49	103	1	\spr\Ui\skill\×··ç¾ö.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	1	120	5	1	5	1	12	50	0	1	0	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	4	1	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	chenglong_jue	missle_speed_v	chenglong_jue	ignoredefense_p	chenglong_jue	skill_attackradius	chenglong_jue	skill_cost_v	chenglong_jue	missle_lifetime_v	chenglong_jue	seriesdamage_p	chenglong_jue	addskilldamage1	chenglong_jue	addskilldamage2	chenglong_jue		chenglong_jue		Chuú ph¸p cao cÊp, khiÕn ®èi ph­¬ng kh«ng thÓ xoay së 	1	0	0
Thõa Long QuyÕt st	lzlsky301	50		0	\spr\Ui\skill\³ËÁú¾ö.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	1	120	5	0	0	1	1	16	0	1	1	9	1	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	-2	0	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	chenglong_jue	skill_eventskilllevel	chenglong_jue	missle_speed_v	chenglong_jue	ignoredefense_p	chenglong_jue	skill_attackradius	chenglong_jue	skill_cost_v	chenglong_jue	missle_lifetime_v	chenglong_jue	seriesdamage_p	chenglong_jue	addskilldamage1	chenglong_jue	addskilldamage2	chenglong_jue		?¡§??????????????????¡§¡ã??????????????¡§?????¡§?????????	1	0	0
Ph¸ Thiªn Tr¶m	lzlsky301	51	102	1	\spr\Ui\skill\³ËÁú¾ö.spr		\sound\skill\sound_k000.wav	\sound\skill\sound_k000.wav	0	0	0	1	90	5	1	5	1	12	52	0	2	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	0	1	0	40	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	potian_zhan	seriesdamage_p	potian_zhan	deadlystrike_p	potian_zhan	missle_speed_v	potian_zhan	skill_attackradius	potian_zhan	skill_cost_v	potian_zhan	skill_skillexp_v	potian_zhan	missle_lifetime_v	potian_zhan	attackrating_p	potian_zhan		potian_zhan		§ao ph¸p tuyÖt ®Ønh,GiÕt ®Þch trong nh¸y m¾t	1	0	1
Ph¸ Thiªn Tr¶m st	lzlsky301	52		0	\spr\Ui\skill\³ËÁú¾ö.spr		\sound\skill\sound_k000.wav	\sound\skill\sound_k000.wav	0	0	0	0	90	0	5	0	0	1	14	1	1	1	9	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	0	-2	0	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	potian_zhan	seriesdamage_p	potian_zhan	deadlystrike_p	potian_zhan	missle_speed_v	potian_zhan	skill_attackradius	potian_zhan	skill_cost_v	potian_zhan	skill_skillexp_v	potian_zhan	missle_lifetime_v	potian_zhan	attackrating_p	potian_zhan		potian_zhan		????¡ì???????	1	0	1
C«ng KÝch VËt Lý	lzlsky301	53	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	75	0	0	0	0	2	4	1	1	1	9	1	1	5	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	90	1	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p		attackrating_p		skill_cost_v																	C«ng kÝch vËt lý	1	0	0
Truy Tinh Trôc NguyÖt	lzlsky301	54	101	1	\spr\Ui\skill\×·ÐÇÖðÔÂ.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	1	90	5	1	3	1	12	55	0	5	0	9	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	3	1	80	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	zhuixing_zhuyue	attackrating_p	zhuixing_zhuyue	skill_skillexp_v	zhuixing_zhuyue	missle_speed_v	zhuixing_zhuyue	seriesdamage_p	zhuixing_zhuyue	skill_cost_v	zhuixing_zhuyue	missle_lifetime_v	zhuixing_zhuyue	deadlystrike_p	zhuixing_zhuyue	skill_attackradius	zhuixing_zhuyue		zhuixing_zhuyue		Th­¬ng ph¸p tèi cao, 1 lÇn xuÊt 5 chiªu thøc liªn tôc 	1	0	1
Truy Tinh Trôc NguyÖt st	lzlsky301	55		0	\spr\Ui\skill\×·ÐÇÖðÔÂ.spr		0	0	0	0	0	0	90	0	2	1	0	2	15	1	1	1	9	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	-2	0	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	zhuixing_zhuyue	attackrating_p	zhuixing_zhuyue	skill_skillexp_v	zhuixing_zhuyue	missle_speed_v	zhuixing_zhuyue	seriesdamage_p	zhuixing_zhuyue	skill_cost_v	zhuixing_zhuyue	missle_lifetime_v	zhuixing_zhuyue	deadlystrike_p	zhuixing_zhuyue	skill_attackradius	zhuixing_zhuyue		zhuixing_zhuyue		?¡§??????¡è?¡ì????????????????¡è??????????????????	1	0	1
Truy Phong QuyÕt	lzlsky301	56	103	1	\spr\Ui\skill\ÆÆÌìÕ¶.spr		\sound\skill\sound_k000.wav	\sound\skill\sound_k000.wav	0	0	0	1	90	5	1	4	1	12	57	0	1	0	9	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	4	1	80	0	9		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	zhuifeng_jue	ignoredefense_p	zhuifeng_jue	seriesdamage_p	zhuifeng_jue	missle_speed_v	zhuifeng_jue	skill_skillexp_v	zhuifeng_jue	skill_cost_v	zhuifeng_jue	missle_lifetime_v	zhuifeng_jue	deadlystrike_p	zhuifeng_jue	skill_attackradius	zhuifeng_jue		zhuifeng_jue		Chuú ph¸p tèi cao, giÊt ®Þcg trong nh¸y m¾t 	1	0	1
Truy Phong QuyÕt st	lzlsky301	57		0	\spr\Ui\skill\ÆÆÌìÕ¶.spr		\sound\skill\sound_k000.wav	\sound\skill\sound_k000.wav	0	0	0	1	90	5	0	0	1	2	16	0	3	1	9	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	1	0	60	0	9		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	zhuifeng_jue	ignoredefense_p	zhuifeng_jue	seriesdamage_p	zhuifeng_jue	missle_speed_v	zhuifeng_jue	skill_skillexp_v	zhuifeng_jue	skill_cost_v	zhuifeng_jue	missle_lifetime_v	zhuifeng_jue	skill_attackradius	zhuifeng_jue		zhuifeng_jue		zhuifeng_jue		?¡§??????¡è?¡ì???????????????????¡§¡ã????¡§???????¡è???¨¬??????????	1	0	1
TÝch LÞch §¬n	lzlsky301	58	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	400	0	0	0	3	1	17	0	1	1	10	1	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p	pili_dan	poisondamage_v	pili_dan	seriesdamage_p	pili_dan	skill_eventskilllevel	pili_dan	addskilldamage1	pili_dan	addskilldamage2	pili_dan	addskilldamage3	pili_dan	addskilldamage4	pili_dan	addskilldamage5	pili_dan	addskilldamage6	pili_dan		Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ	1	0	0
§­êng M«n ¸m KhÝ	lzlsky301	59	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_aq.spr				0	0	3	0	0	0	0	0	3	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tangmen.lua	addphysicsdamage_p	tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		T¨ng kh¶ n¨ng sö dông ¸m khÝ	0	0	0
§Þa DiÖm Ho¶	lzlsky301	60	304	0	\spr\Ui\skill\µØÑæ»ð.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	50	0	0	0	3	7	18	-1	1	1	11	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	61	10	20	-2	1	0	0	0		0					0	0	\script\skill\tangmen.lua	firedamage_v	diyan_huo	skill_cost_v	diyan_huo	seriesdamage_p	diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
§Þa DiÖm Ho¶ st	lzlsky301	61		0			\sound\skill\ÎåÀ×Õý·¨m.wav	\sound\skill\ÎåÀ×Õý·¨f.wav	0	0	2	0	0	0	3	5	3	6	19	-1	4	1	11	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	1	50	0	0		0					0	0	\script\skill\tangmen.lua	firedamage_v	diyan_huo	skill_cost_v	diyan_huo	seriesdamage_p	diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		diyan_huo		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
§éc ThÝch Cèt	lzlsky301	62	304	0	\spr\Ui\skill\¶¾´Ì¹Ç.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	50	0	0	0	3	7	20	-1	1	1	11	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	63	20	20	-2	1	0	0	0		0					0	0	\script\skill\tangmen.lua	poisondamage_v	duci_gu	skill_cost_v	duci_gu	seriesdamage_p	duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
§éc ThÝch Cèt st	lzlsky301	63		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_41.spr		\sound\skill\ÎåÀ×Õý·¨m.wav	\sound\skill\ÎåÀ×Õý·¨f.wav	0	0	2	0	0	0	3	5	3	6	21	-1	4	1	11	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	1	50	0	0		0					0	0	\script\skill\tangmen.lua	poisondamage_v	duci_gu	skill_cost_v	duci_gu	seriesdamage_p	duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
Truy T©m TiÔn	lzlsky301	64	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_22.spr		\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	360	0	2	5	3	1	22	0	3	1	10	1	0	5	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	101	1	0	0	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p	zhuixin_jian	missle_speed_v	zhuixin_jian	skill_attackradius	zhuixin_jian	skill_cost_v	zhuixin_jian	poisondamage_v	zhuixin_jian	seriesdamage_p	zhuixin_jian	skill_eventskilllevel	zhuixin_jian	addskilldamage1	zhuixin_jian		zhuixin_jian		zhuixin_jian		Trung cÊp chiªu thøc, cÇn trang bÞ phi ®ao	1	0	0
M¹n Thiªn Hoa Vò	lzlsky301	65	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_32.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr	0	0	0	0	2	0	400	0	0	0	3	6	23	1	1	1	10	1	0	5	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	102	1	0	0	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p	mantian_huayu		mantian_huayu		mantian_huayu	skill_attackradius	mantian_huayu	skill_cost_v	mantian_huayu	poisondamage_v	mantian_huayu	seriesdamage_p	mantian_huayu	skill_eventskilllevel	mantian_huayu	addskilldamage1	mantian_huayu		mantian_huayu		Chiªu thøc cao cÊp, dïng ¸m khÝ tÊn c«ng ®èi ph­¬ng trªn diÖn réng	1	0	0
§o¹t Hån Tiªu	lzlsky301	66	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	450	0	0	0	3	1	24	0	1	1	10	1	0	5	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	100	1	100	0	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p	duohun_biao	poisondamage_v	duohun_biao	skill_eventskilllevel	duohun_biao	poisondamage_v	duohun_biao	missle_speed_v	duohun_biao	skill_attackradius	duohun_biao	skill_cost_v	duohun_biao	seriesdamage_p	duohun_biao	addskilldamage1	duohun_biao		duohun_biao		Trung cÊp chiªu thøc, c©n trang bÞ ¸m khi PhÝ tiªu	1	0	0
Xuyªn T©m ThÝch	lzlsky301	67	304	0	\spr\Ui\skill\´©ÐÄ´Ì.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	50	0	0	0	3	7	25	-1	1	1	11	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	68	30	20	-2	1	0	0	0		0					0	0	\script\skill\tangmen.lua	physicsdamage_v	chuanxin_ci	skill_cost_v	chuanxin_ci	seriesdamage_p	chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
Xuyªn T©m ThÝch st	lzlsky301	68		0			\sound\skill\ÎåÀ×Õý·¨m.wav	\sound\skill\ÎåÀ×Õý·¨f.wav	0	0	2	0	0	0	3	5	3	6	26	-1	4	1	11	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	1	50	0	0		0					0	0	\script\skill\tangmen.lua	physicsdamage_v	chuanxin_ci	skill_cost_v	chuanxin_ci	seriesdamage_p	chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		chuanxin_ci		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
Hµn B¨ng ThÝch	lzlsky301	69	304	0	\spr\Ui\skill\º®±ù´Ì.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	50	0	0	0	3	7	27	-1	1	1	11	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	70	40	20	-2	1	0	0	0		0					0	0	\script\skill\tangmen.lua	colddamage_v	hanbing_ci	skill_cost_v	hanbing_ci	seriesdamage_p	hanbing_ci		hanbing_ci		hanbing_ci		hanbing_ci		hanbing_ci		hanbing_ci		hanbing_ci		hanbing_ci		§­êng M«n §Æt BÉy. Uy lùc khã l­êng	0	1	0
