szName	nItemGenre	nDetailType	szImageName	nObjIdx	nWidth	nHeight	szIntro	Coin	IsUse	IsTrade	IsThrow	nMaxStack
Kim PhËt	4	121	\spr\item\task\buddha.spr	413	1	1	Mét bøc t­îng PhËt b»ng Vµng	0	0	0	1	0
LÖnh bµi th«ng hµnh phe c«ng thµnh	4	122	\spr\item\questkey\taskobj126.spr	336	1	1	Lªnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh	200000	0	1	1	0
LÖnh bµi th«ng hµnh phe thñ thµnh	4	123	\spr\item\questkey\taskobj126.spr	336	1	1	Lªnh bµi th«ng hµnh ®Ó tham gia thñ thµnh	200000	0	1	1	0
Khiªu ChiÕn LÖnh	4	124	\spr\item\questkey\taskobj126.spr	336	1	1	VËt phÈm dïng ®Ó tham gia ®Êu gi¸ c«ng thµnh	5000	0	0	1	50
Danh Väng Lé (tiÓu)	4	125	\spr\item\questkey\taskobj073.spr	41	1	1	Sö dông nhËn ®­îc 10 ®iÓm danh väng	12	1	1	1	0
Danh Väng Lé (trung)	4	126	\spr\item\questkey\taskobj073.spr	41	1	1	Sö dông nhËn ®­îc 20 ®iÓm danh väng	24	1	1	1	0
Danh Väng Lé (®¹i)	4	127	\spr\item\questkey\taskobj073.spr	41	1	1	Sö dông nhËn ®­îc 50 ®iÓm danh väng	60	1	1	1	0
LÖnh bµi gäi boss (tiÓu)	4	128	\spr\item\questkey\obj_item_herokey3.spr	385	1	1	Ngay lËp tøc gäi ra 1 boss vµng ngay t¹i vŞ trİ ®ang ®øng	30	1	0	0	0
LÖnh bµi gäi boss (®¹i)	4	129	\spr\item\questkey\obj_item_herokey3.spr	385	1	1	Ngay lËp tøc gäi ra 1 boss vµng ngay t¹i vŞ trİ ®ang ®øng	60	1	0	0	0
S¸t Thñ LÖnh	4	130	\spr\item\questkey\006.spr	385	1	1	VËt phÈm cã ®­îc khi tiªu diÖt boss s¸t thñ <enter>5 lÖnh bµi cã thÓ ghĞp thµnh <color=fire>S¸t Thñ Gi¶n<color>	100	0	0	0	0
S¸t Thñ Gi¶n	4	131	\spr\item\questkey\taskobj033.spr	9	1	2	Mang lÖnh bµi ®Õn gÆp Sø Gi¶ V­ît ¶i ®Ó tham gia v­ît ¶i	20	0	1	0	0
Hç Trî Ng­êi Ch¬i	4	132	\spr\item\hotro.spr	341	1	1	VËt phÈm trî gióp ng­êi ch¬i game	100	1	0	0	0
LÔ VËt V­ît ¶i	4	133	\spr\item\hopquasinhnhat.spr	41	1	1	"VËt phÈm ho¹t ®éng v­ît ¶i, bªn trong chøa nhiÒu phÇn th­ëng gi¸ trŞ"	100	1	0	0	0
Hép Quµ TÕt	4	134	\spr\item\hopquatet.spr	41	1	1	Hép quµ kh«ng thÓ thiÕu trong dŞp tÕt<enter>Bªn trong chøa 5 lo¹i ngò qu¶	100	1	1	1	50
Hép Quµ Gi¸ng Sinh	4	135	\spr\item\hopquagiangsinh.spr	41	1	1	Hép quµ kh«ng thÓ thiÕu trong dŞp gi¸ng sinh<enter>Bªn trong chøa 5 lo¹i b¨ng tinh	100	1	0	0	0
CÈm Nang Hoµng Kim	4	136	\spr\item\camnanghoangkim.spr	41	1	1	Bªn trong chøa mét sè kinh nghiÖm vµ tiÒn<enter>Mçi ngµy chØ ®­îc dïng tèi ®a 20 c¸i	100	1	0	0	0
Hép Quµ Noel	4	137	\spr\item\hopquagiangsinh.spr	41	1	1	<color=fire>VËt phÈm Sù KiÖn Noel 2012<color>	0	1	0	0	0
§­êng	4	138	\spr\event\duong.spr	41	1	1	Nguyªn LiÖu Lµm B¸nh Trung Thu	100	0	0	0	0
Bét	4	139	\spr\event\bot.spr	41	1	1	Nguyªn LiÖu Lµm B¸nh Trung Thu	100	0	0	0	0
Trøng	4	140	\spr\event\trung.spr	41	1	1	Nguyªn LiÖu Lµm B¸nh Trung Thu	100	0	0	0	0
Gµ Quay	4	141	\spr\event\ga.spr	41	1	1	Nguyªn LiÖu Lµm B¸nh Trung Thu	100	0	0	0	0
ThŞt	4	142	\spr\item\newyear2008\zhurou.spr	41	1	1	Nguyªn LiÖu Lµm B¸nh Trung Thu	100	0	0	0	0
B¸nh Gµ Quay	4	143	\spr\event\gaquay.spr	41	1	1	<color=fire>Sö Dông NhËn §­îc 50.00 EXP	100	1	0	0	0
B¸nh ThËp CÈm	4	144	\spr\event\thapcam.spr	41	1	1	<color=fire>Sö Dông NhËn §­îc 10.000 EXP	100	1	0	0	0
B¸nh Trung Thu §Æc BiÖt	4	145	\spr\event\bdb.spr	41	2	1	<color=fire>Sö Dông NhËn §­îc 20.000 EXP Vµ VËt PhÈm NgÉu Nhiªn	100	1	0	0	0
M©m B¹c Ngñ Qu¶	4	146	\spr\item\ManBacNguQua.spr	41	1	1	<color=fire>Sù kiÖn Trung Thu 2012	100	0	0	0	0
Bao L× X× N¨m Míi	4	147	\spr\item\lixi.spr	41	1	1	<color=yellow>Chóc mõng n¨m míi-<color><enter><color=red>An Khang ThŞnh V­îng<enter>V¹n Sù Nh­ ı.	100	0	1	1	50
 Thæ §Şa Phï 	4	148	\spr\item\special\Obj_TownPortal.spr	38	1	1	Sö dông ®Ó håi thµnh phï	500	1	1	0	0
Gi¶i Oan Ch©n Kinh	4	149	\spr\item\questkey\obj_item_lection.spr	41	1	1	Sau khi sö dông sÏ ®­îc gi¶m 1 ®iÓm PK	10	1	1	0	0
Thæ §Şa Phï (kh«ng giíi h¹n)	4	150	\spr\item\questkey\thodiaphuxanh.spr	38	1	1	"Sö dông ®Ó håi thµnh phï , kh«ng giíi h¹n sè lÇn sö dông"	100	1	1	0	0
Danh Väng Lé	4	151	\spr\item\questkey\taskobj073.spr	41	1	1	"Loai tien tuu, su dung tang <color=green>50 diem<color=green> danh vong"	100	1	0	0	0
O Kim Dai Phap	4	152	\spr\item\vnxmas2007\wuse_bingjin.spr	41	1	1	Loai da ma thuat dung de tinh che vu khi <color=pink>O Kim<color>	100	0	0	0	0
S­ §å LÖnh	4	153	\spr\item\questkey\taskobj126.spr	336	1	1	LÖnh bµi ra m¾t s­ phô	100	0	0	0	0
GiÊy PhĞp Bµy B¸n	4	154	\spr\item\sach4.spr	41	1	1	" GiÊy phĞp bµy b¸n, sö dông cã thÓ bµy b¸n ë tÊt c¶ thµnh thŞ <enter> Thêi gian: <color=red>6 giê "	10	1	1	0	0
GiÊy PhĞp Bµy B¸n	4	155	\spr\item\sach4.spr	41	1	1	"GiÊy phĞp ®Ó bµy b¸n d­íi cÊp 100, sö dông cã thÓ bµy b¸n<enter>Thêi h¹n: 6 giê"	20	1	1	0	0
Do Pho Phi Tieu	4	156	\spr\item\script\item_huangjintupu.spr	424	1	1	<color=fire>Bi Pho Dung De Tinh Luyen Trang Bi<color>	100	0	0	0	0
Do Pho Tu Tien	4	157	\spr\item\script\item_huangjintupu.spr	424	1	1	<color=fire>Bi Pho Dung De Tinh Luyen Trang Bi<color>	100	0	0	0	0
Ng©n PhiÕu (lo¹i th­êng)	4	158	\spr\item\questkey\yinpiao.spr	38	1	1	<color=fire>TrŞ gi¸ : 100 v¹n l­îng<color><enter>Chuét ph¶i vµo ng©n phiÕu ®Ó sö dông	100	1	0	0	0
Ng©n PhiÕu (lo¹i trung)	4	159	\spr\item\questkey\yinpiao.spr	38	1	1	<color=fire>TrŞ gi¸ : 300 v¹n l­îng<color><enter>Chuét ph¶i vµo ng©n phiÕu ®Ó sö dông	100	1	0	0	0
Ng©n PhiÕu (lo¹i ®¹i)	4	160	\spr\item\questkey\yinpiao.spr	38	1	1	<color=fire>TrŞ gi¸ : 500 v¹n l­îng<color><enter>Chuét ph¶i vµo ng©n phiÕu ®Ó sö dông	100	1	0	0	0
BÕ NguyÖt PhÊt TrÇn	4	161	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Nga Mi<color>	60	1	0	0	0
HÊp Tinh YÕm	4	162	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Ngu Doc<color>	60	1	0	0	0
§¹i Thõa Nh­ Lai Chó	4	163	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Thieu Lam<color>	60	1	0	0	0
Hçn Thiªn Khİ C«ng	4	164	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Cai Bang<color>	60	1	0	0	0
Ngù TuyÕt Èn	4	165	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Thuy Yen<color>	60	1	0	0	0
Mª ¶nh Tung	4	166	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Duong Mon<color>	60	1	0	0	0
L­ìng Nghi Ch©n Khİ	4	167	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Con Lon<color>	60	1	0	0	0
Ma ¸m HÖ Ph¸ch	4	168	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Thien Nhan<color>	60	1	0	0	0
§¹o H­ Thiªn	4	169	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Thien Vuong<color>	60	1	0	0	0
Xu©n U BÊt NhiÔm	4	170	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Bİ kİp 120 m«n ph¸i<enter><color=yellow>Vâ c«ng ®éc m«n cña Vo Dang<color>	60	1	0	0	0
B¾c §Èu Tr­êng Sinh ThuËt <C¬ Së Thiªn>	4	171	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bİ kİp ghi l¹i c¸ch thøc chuyÓn sinh<enter>Dïng cho nh©n sÜ muèn thö søc víi vËn may.	500	1	1	1	0
Ngò S¾c B¶o Ngäc (tiÓu)	4	172	\spr\item\tisheng.spr	385	1	1	Tİn vËt ®Ó ®i vµo B¹ch §¹o	100	0	0	0	0
LÖnh bµi vinh dù Hoµng Kim	4	173	\spr\item\vietnam\leaguematch\icon_league_gold.spr	385	1	1	Sö dông sÏ nhËn ®­îc 500 ®iÓm vinh dù	600	1	1	1	10
LÖnh bµi vinh dù B¹ch Ng©n	4	174	\spr\item\vietnam\leaguematch\icon_league_silver.spr	385	1	1	Sö dông sÏ nhËn ®­îc 100 ®iÓm vinh dù	120	1	1	1	10
LÖnh bµi vinh dù Thanh §ång	4	175	\spr\item\vietnam\leaguematch\icon_league_iron.spr	385	1	1	Sö dông sÏ nhËn ®­îc 50 ®iÓm vinh dù	60	1	1	1	10
LÖnh bµi vinh dù Hµn ThiÕt	4	176	\spr\item\vietnam\leaguematch\icon_league_copper.spr	385	1	1	Sö dông sÏ nhËn ®­îc 10 ®iÓm vinh dù	12	1	1	1	10
Dõa Xiªm	4	177	\spr\item\yn_chunjie\yn_yezi.spr	435	1	1	<color=red>Nguyªn liÖu lµm b¸nh ngµy tÕt<color>	100	0	0	0	0
Sung	4	178	\spr\item\yn_chunjie\yn_chengqunguo.spr	438	1	1	<color=red>Nguyªn liÖu lµm b¸nh ngµy tÕt<color>	100	0	0	0	0
§u §ñ	4	179	\spr\item\yn_chunjie\yn_mugua.spr	436	1	1	<color=red>Nguyªn liÖu lµm b¸nh ngµy tÕt<color>	100	0	0	0	0
B¸nh Ch­ng ThËp CÈm	4	180	\spr\item\newyear2008\shangdengzongbing.spr	366	1	1	VËt phÈm ngµy tÕt<enter>Sö dông nhËn ®­îc 500.000 kinh nghiÖm.	100	1	1	1	50
B¸nh Ch­ng Cao CÊp	4	181	\spr\item\newyear2008\shangdengzongbing.spr	366	1	1	VËt phÈm ngµy tÕt<enter>Sö dông nhËn ®­îc 700.000 kinh nghiÖm vµ tØ lÖ ra vËt phÈm quı.	100	1	1	1	50
B¸nh Ch­ng Th­îng H¹ng	4	182	\spr\item\newyear2008\shangdengzongbing.spr	366	1	1	VËt phÈm ngµy tÕt<enter>Sö dông nhËn ®­îc 1.000.000 kinh nghiÖm vµ tØ lÖ ra vËt phÈm quı.	100	1	1	1	50
B¸nh TĞt Nh©n §Ëu	4	183	\spr\item\eventtet\banhtet.spr	439	1	1	VËt phÈm ngµy tÕt<enter>Sö dông nhËn ®­îc 1.200.000 kinh nghiÖm.	100	1	0	0	0
B¸nh TĞt Th­îng H¹ng	4	184	\spr\item\eventtet\banhtet.spr	439	1	1	VËt phÈm ngµy tÕt<enter>Sö dông nhËn ®­îc 2.000.000 kinh nghiÖm.	100	1	0	0	0
Bo	4	185	\spr\item\yn_chunjie\yn_chunbing_bei.spr	439	1	1	<color=red>Su dung nhan duoc 1.200.000 diem kinh nghiem va 1 vat pham ngau nhien<color>	100	0	0	0	0
[Kim] B¨ng Tinh	4	186	\spr\event\nguoituyet\jin_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	0	0	0	0	0
[Méc] B¨ng Tinh	4	187	\spr\event\nguoituyet\mu_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	0	0	0	0	0
[Thñy] B¨ng Tinh	4	188	\spr\event\nguoituyet\shui_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	0	0	0	0	0
[Háa] B¨ng Tinh	4	189	\spr\event\nguoituyet\huo_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	0	0	0	0	0
[Thæ] B¨ng Tinh	4	190	\spr\event\nguoituyet\tu_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	0	0	0	0	0
[Ngò S¾c] B¨ng Tinh	4	191	\spr\event\nguoituyet\wuse_bingjin.spr	41	1	1	<color=red>Nguyªn liÖu tham gia sù kiÖn Gi¸ng Sinh<color>	10	0	0	0	0
TuyÕt Nh©n S¬ CÊp	4	192	\spr\event\nguoituyet\huang_xueren.spr	41	1	1	<color=red>Sö dông nhËn ®­îc 20.000 kinh nghiÖm<color>	0	1	0	0	0
TuyÕt Nh©n Trung CÊp	4	193	\spr\event\nguoituyet\zi_xueren.spr	41	1	1	<color=red>Sö dông nhËn ®­îc 100.000 kinh nghiÖm Vµ Phóc Duyªn<color>	0	1	0	0	0
TuyÕt Nh©n Cao CÊp	4	194	\spr\event\nguoituyet\lv_xueren.spr	41	1	1	<color=red>Sö dông nhËn ®­îc 200.000 kinh nghiÖm Vµ NgÉu Nhiªn NhËn §­îc VËt PhÈm <color>	0	1	0	0	0
§ïi Gµ N­íng	4	195	\spr\event\thucan\duiganuong.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
B¸nh BÌo T«m	4	196	\spr\event\thucan\banhbeotom.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
Bß Lóc L¾c	4	197	\spr\event\thucan\boluclac.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
 C¸ Lãc Kho Té 	4	198	\spr\event\thucan\calockhoto.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
§Ëu Hñ Chiªn	4	199	\spr\event\thucan\dauhuchien.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
C¬m HÊp L¸ Sen	4	200	\spr\event\thucan\comhaplasen.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
S­ên Ram	4	201	\spr\event\thucan\suonram.spr	41	1	1	Mang ®Õn tÆng cho LÔ Quan ®Ó nhËn kinh nghiÖm	100	0	1	0	50
Lam Hoa	4	202	\spr\item\questkey\lamhoa.spr	41	1	1	VËt PhÈm §Ó Lµm Envent	0	0	0	0	0
Xoi Khuc	4	203	\spr\event\xoikhuc.spr	41	1	1	Mang ®Õn tÆng cho ¤ng Giµ Noel ®Ó nhËn kinh nghiÖm	100	0	0	0	0
T× Bµ Hoµn	4	204	\spr\item\medecine\obj-potion15.spr	41	1	1	Lo¹i thuèc th­êng dïng ®Ó trŞ phong hµn.	100	0	0	1	0
Hoa Tai	4	205	\spr\item\questkey\taskobj073.spr	41	1	1	Mét ®«i khuyªn tai nhá b»ng vµng.	100	0	0	1	0
MËt Hµm Ph­îng T­êng	4	206	\spr\item\questkey\taskobj075.spr	41	1	1	<color=red>VËt phÈm nhiÖm vô  <color><enter>MËt hµm ®­a ®Õn T­¬ng D­¬ng	100	0	0	1	0
MËt Hµm Thµnh §«	4	207	\spr\item\questkey\taskobj075.spr	41	1	1	<color=red>VËt phÈm nhiÖm vô  <color><enter>MËt hµm ®­a ®Õn Thµnh §«	100	0	0	1	0
MËt Hµm BiÖn Kinh	4	208	\spr\item\questkey\taskobj075.spr	41	1	1	<color=red>VËt phÈm nhiÖm vô  <color><enter>MËt hµm ®­a ®Õn T­¬ng D­¬ng	100	0	0	1	0
MËt Hµm D­¬ng Ch©u	4	209	\spr\item\questkey\taskobj075.spr	41	1	1	<color=red>VËt phÈm nhiÖm vô  <color><enter>MËt hµm ®­a ®Õn Thµnh §«	100	0	0	1	0
MËt Hµm T­¬ng D­¬ng	4	210	\spr\item\questkey\taskobj075.spr	41	1	1	<color=red>VËt phÈm nhiÖm vô  <color><enter>MËt hµm ®­a ®Õn Ph­¬ng T­êng	100	0	0	1	0
Bµn Nh­îc T©m Kinh	4	211	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp tÈy kinh nghiÖm bŞ ¢m	25	1	1	0	0
Ch×a Khãa R­¬ng 1	4	212	\spr\item\questkey\chiakhoavng.spr	41	1	1	Lo¹i ch×a khãa gióp b¹n më réng r­¬ng 1	50	1	1	0	0
Ch×a Khãa R­¬ng 2	4	213	\spr\item\questkey\chiakhoavng.spr	41	1	1	Lo¹i ch×a khãa gióp b¹n më réng r­¬ng 2	50	1	1	0	0
Ch×a Khãa R­¬ng 3	4	214	\spr\item\questkey\chiakhoavng.spr	41	1	1	Lo¹i ch×a khãa gióp b¹n më réng r­¬ng 3	50	1	1	0	0
Ch×a Khãa Hµnh Trang	4	215	\spr\item\questkey\chiakhoavng.spr	41	1	1	Lo¹i ch×a khãa gióp b¹n më réng hµnh trang	80	1	1	0	0
M¶nh Cê 1	4	216	\spr\event\304\co1.spr	41	1	1	"Mét m¶nh cê chiÕn th¾ng, dïng ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng"	100	0	1	0	0
M¶nh Cê 2	4	217	\spr\event\304\co2.spr	41	1	1	"Mét m¶nh cê chiÕn th¾ng, dïng ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng"	100	0	1	0	0
M¶nh Cê 3	4	218	\spr\event\304\co3.spr	41	1	1	"Mét m¶nh cê chiÕn th¾ng, dïng ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng"	100	0	1	0	0
M¶nh Cê 4	4	219	\spr\event\304\co4.spr	41	1	1	"Mét m¶nh cê chiÕn th¾ng, dïng ®Ó ghĞp thµnh L¸ Cê ChiÕn Th¾ng"	100	0	1	0	0
L¸ Cê ChiÕn Th¾ng	4	220	\spr\event\304\cochienthang.spr	41	2	2	"L¸ cê chiÕn th»ng tung bay vµo ngµy 30/04, sö dông sÏ nhËn ®­îc phÇn th­ëng"	100	1	1	0	0
Bao G¹o	4	221	\spr\event\304\baogao.spr	41	1	1	Tinh G¹o tr¾ng dïng ®Ó chÕ biÕn thµnh r­îu mõng chiÕn th¾ng	1	0	1	0	50
Lä N­íc	4	222	\spr\event\304\lonuoc.spr	41	1	1	Lä N­íc s¹ch dïng ®Ó chÕ biÕn thµnh r­îu mõng chiÕn th¾ng	1	0	1	0	50
Men R­îu	4	223	\spr\event\304\menruou.spr	41	1	1	Men R­îu ngon dïng ®Ó chÕ biÕn thµnh r­îu mõng chiÕn th¾ng	1	0	1	0	50
R­îu G¹o Nguyªn ChÊt	4	224	\spr\event\304\ruougao.spr	41	1	1	Lo¹i r­îu ngon ®Ó ¨n mõng chiÕn th¾ng ®Æc biÖt	1	1	0	0	50
R­îu Nho Th­îng H¹ng	4	225	\spr\event\304\ruounho.spr	41	1	1	Lo¹i r­îu nho th­îng h¹ng cã mïi vŞ rÊt ngon	1	1	1	0	50
Nho T­¬i	4	226	\spr\event\304\nhotuoi.spr	41	1	1	Nho T­¬i dïng ®Ó chÕ biÕn thµnh R­îu Nho Th­îng H¹ng	5	0	1	0	50
LÖnh Bµi	4	227	\spr\item\sach3.spr	341	1	1	LÖnh bµi hç trî ng­êi ch¬i míi.	0	1	0	0	0
Thiªn Niªn TuyÕt Liªn	4	228	\spr\item\tuyetlien.spr	41	1	1	"Lo¹i hoa c¸nh tr¾ng vµng, nhôy ®á tİm mäc trªn tuyÕt tr¾ng<enter>Lµ lo¹i thuèc c¶i tö hoµn sinh vµ t¨ng c­êng c«ng lùc."	300	1	1	0	0
HiÖp Cèt LÖnh Bµi	4	229	\spr\item\questkey\006.spr	385	1	1	H·y ®Õn NPC Hµng Rong ë Ba L¨ng HuyÖn ®Ó ®æi trang bŞ	1	0	0	0	0
Nhu T×nh LÖnh Bµi	4	230	\spr\item\questkey\006.spr	385	1	1	H·y ®Õn NPC Hµng Rong ë Ba L¨ng HuyÖn ®Ó ®æi trang bŞ	1	0	0	0	0
§­êng C¸t	4	231	\spr\item\mid_autumn\shatang.spr	41	1	1	"Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm ra b¸nh kem, cã thÓ t×m ë kh¾p mäi n¬i"	0	0	1	0	50
 Bét M× 	4	232	\spr\item\mid_autumn\mianfen.spr	41	1	1	"Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm ra b¸nh kem, cã thÓ t×m ë kh¾p mäi n¬i"	0	0	1	0	50
Trøng	4	233	\spr\item\mid_autumn\yadan.spr	41	1	1	"Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm ra b¸nh kem, cã thÓ t×m ë kh¾p mäi n¬i"	0	0	1	0	50
Bİ QuyÕt Lµm B¸nh	4	234	\spr\event\banhkem\bqbk.spr	41	1	1	Bİ quyÕt lµm ra lo¹i b¸nh kem th­îng h¹ng.	4	0	1	0	50
Kim Nguyªn B¶o	4	235	\spr\item\questkey\obj_item_cardg.spr	340	1	1	"VËt phÈm quı gi¸, cã thÓ ®æi ra tiÒn ®ång t¹i NPC TiÒn Trang ë BiÖn Kinh"	50	0	1	1	0
TiÒn §ång	4	236	\spr\item\tongqian.spr	373	1	1	"Dïng ®Ó mua c¸c vËt phÈm ®Æc thï, tham gia sù kiÖn v.v..."	100	0	1	1	100
Long Duyªn Gi¶i §éc §¬n	4	237	\spr\item\medecine\obj-potion27.spr	341	1	1	"D­îc phÈm do Hoa §µ chÕ, gi¶i ®éc rÊt hiÖu qu¶<enter>Gi¶i ®éc: -5000"	1000	1	0	0	0
B¸nh Kem C¸t T­êng	4	238	\spr\event\banhkem\bkct.spr	41	1	1	"Lo¹i b¸nh kem rÊt ngon, mäi ng­êi th­êng hay sö dông vµo c¸c dŞp lÔ, sinh nhËt, v.v..."	0	1	1	0	50
 B¸nh Kem Nh­ ı 	4	239	\spr\event\banhkem\bkny.spr	41	1	1	"Lo¹i b¸nh kem h¶o h¹ng, ¨n vµo cã mïi vŞ rÊt th¬m vµ rÊt ngon"	0	1	1	0	50
L­¬ng Th¶o Qu©n Dông	4	240	\spr\item\luongthao.spr	41	1	1	"L­¬ng th¶o qu©n dông, thøc ¨n ®ñ cho 10  binh lİnh sö dông ngoµi chiÕn tr­êng."	1000	0	0	0	0
L­¬ng Th¶o Cao CÊp	4	241	\spr\item\tuihong.spr	41	1	1	"L­¬ng th¶o cao cÊp, thøc ¨n ®ñ cho 50  binh lİnh sö dông ngoµi chiÕn tr­êng."	1000	0	0	0	0
L¸ Dong	4	242	\spr\item\newyear2008\zongyue.spr	41	1	1	Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm B¸nh Ch­ng	100	0	1	0	50
G¹o NÕp	4	243	\spr\item\newyear2008\nuomi.spr	41	1	1	Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm B¸nh Ch­ng	100	0	1	0	50
§Ëu Xanh	4	244	\spr\item\newyear2008\lvdou.spr	41	1	1	Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm B¸nh Ch­ng	100	0	1	0	50
 ThŞt Mì 	4	245	\spr\item\newyear2008\zhurou.spr	41	1	1	Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm B¸nh Ch­ng	100	0	1	0	50
L¹t B¸nh	4	246	\spr\item\vietnam\midautumn06\tiesi.spr	41	1	1	Nguyªn liÖu kh«ng thÓ thiÕu ®Ó lµm B¸nh Ch­ng	100	0	1	0	50
Tói Sù KiÖn	4	247	\spr\item\luongthaocc.spr	41	1	1	Bªn trong chøa c¸c nguyªn liÖu ®Ó tham gia sù kiÖn	100	1	0	0	0
Tói Nguyªn LiÖu Lµm B¸nh	4	248	\spr\event\banhkem\nlbk.spr	41	1	1	"Tói chøa nguyªn liÖu lµm b¸nh kem<enter>Bªn trong gåm cã: <color=blue>Bét M×, §­êng C¸t, Trøng"	0	1	0	0	0
B¹ch CÇu Hoµn	4	249	\spr\item\bch.spr	41	1	1	"VËt phÈm dïng ®Ó ñy th¸c, bÊm chuét ph¶i ®Ó sö dông"	5	1	1	0	0
§¹i B¹ch CÇu Hoµn	4	250	\spr\item\daibch.spr	41	1	1	"VËt phÈm dïng ®Ó ñy th¸c, kinh nghiÖm nhËn ®­îc gÊp ®«i B¹ch CÇu Hoµn"	12	1	1	0	0
H¹t Hoa Hång	4	251	\spr\item\questkey\seed_rose.spr	380	1	1	NhÊn chuét ph¶i ®Ó trång c©y hoa hång.	30	1	0	0	50
H¹t Hoa Hång	4	252	\spr\item\questkey\seed_rose.spr	380	1	1	NhÊn chuét ph¶i ®Ó trång c©y hoa hång.	15	1	1	0	50
Thïng N­íc	4	253	\spr\item\new\tnuoc.spr	41	1	1	Dïng ®Ó t­íi n­íc cho h¹t gièng C©y ThÇn Kú.	10000	0	1	0	50
Ph©n Bãn	4	254	\spr\item\new\pbon.spr	41	1	1	Dïng ®Ó bãn ph©n cho h¹t gièng C©y ThÇn Kú.	20000	0	1	0	50
B«n Tiªu To¸i PhiÕn	4	255	\spr\item\new\pvtp.spr	41	1	1	Tİch lòy ®ñ sè l­îng cã thÓ ®æi chiÕn m· B«n Tiªu t¹i NPC Hµng Rong	150	0	1	0	50
Phiªn Vò To¸i PhiÕn	4	256	\spr\item\new\pvtp.spr	41	1	1	Tİch lòy ®ñ sè l­îng cã thÓ ®æi chiÕn m· Phiªn Vò t¹i NPC Hµng Rong	300	0	1	0	50
ThĞp Tinh LuyÖn	4	257	\spr\item\theptinhluyen.spr	41	1	1	VËt phÈm quan träng ®Ó tinh luyÖn Anh Hïng LÖnh	3	0	1	0	50
Anh Hïng LÖnh (cÊp 1)	4	258	\spr\item\questkey\006.spr	41	1	1	Nguyªn liÖu dïng ®Ó n©ng cÊp Anh Hïng LÖnh (cÊp 2)	100	0	1	0	50
